Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
0.7650    /	149.28         	/	72.37          	/	730.01         	/	1389.03        	/	2555.14        
0.7750    /	149.30         	/	72.29          	/	727.89         	/	1386.92        	/	2558.56        
0.7850    /	149.06         	/	72.15          	/	727.32         	/	1384.59        	/	2550.19        
0.7950    /	148.96         	/	72.00          	/	728.90         	/	1386.27        	/	2553.44        
0.8050    /	148.73         	/	71.86          	/	723.77         	/	1375.64        	/	2545.72        
0.8150    /	148.51         	/	71.72          	/	722.35         	/	1373.00        	/	2542.73        
0.8250    /	148.60         	/	71.68          	/	726.42         	/	1374.11        	/	2550.05        
0.8350    /	148.69         	/	71.63          	/	724.34         	/	1369.81        	/	2547.58        
0.8450    /	148.91         	/	71.52          	/	728.09         	/	1375.45        	/	2562.20        
0.8550    /	149.08         	/	71.41          	/	728.92         	/	1377.19        	/	2563.40        
0.8650    /	149.31         	/	71.39          	/	732.12         	/	1381.32        	/	2563.34        
0.8750    /	149.21         	/	71.37          	/	729.70         	/	1380.94        	/	2555.20        
0.8850    /	149.19         	/	71.31          	/	729.23         	/	1377.53        	/	2562.78        
0.8950    /	149.19         	/	71.25          	/	730.97         	/	1380.64        	/	2567.99        
0.9050    /	149.44         	/	71.19          	/	731.47         	/	1381.84        	/	2575.34        
0.9150    /	149.72         	/	71.18          	/	734.04         	/	1389.00        	/	2581.66        
0.9250    /	150.14         	/	71.12          	/	737.58         	/	1396.77        	/	2586.32        
0.9350    /	150.49         	/	71.00          	/	738.38         	/	1406.45        	/	2600.86        
0.9450    /	150.60         	/	70.89          	/	735.79         	/	1401.30        	/	2607.57        
0.9550    /	150.49         	/	70.79          	/	735.12         	/	1404.92        	/	2594.44        
0.9650    /	150.63         	/	70.65          	/	734.27         	/	1401.77        	/	2588.67        
0.9750    /	150.52         	/	70.59          	/	734.55         	/	1407.93        	/	2589.59        
0.9850    /	150.23         	/	70.48          	/	732.64         	/	1400.41        	/	2579.18        
0.9950    /	150.18         	/	70.29          	/	731.47         	/	1398.16        	/	2587.28        
1.0050    /	150.07         	/	70.11          	/	727.78         	/	1389.18        	/	2577.71        
1.0150    /	149.94         	/	69.98          	/	730.37         	/	1397.23        	/	2589.41        
1.0250    /	149.81         	/	69.87          	/	732.23         	/	1401.33        	/	2590.14        
1.0350    /	149.59         	/	69.74          	/	731.30         	/	1397.69        	/	2579.26        
