Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
0.7623    /	440.01         	/	63.57          	/	441.25         	/	1861.15        	/	2462.79        
0.7723    /	440.08         	/	63.59          	/	441.17         	/	1713.18        	/	2771.17        
0.7823    /	439.72         	/	63.62          	/	440.90         	/	1817.57        	/	2976.89        
0.7923    /	439.93         	/	63.58          	/	442.10         	/	1726.95        	/	2974.41        
0.8023    /	440.18         	/	63.48          	/	441.24         	/	1788.92        	/	2969.36        
0.8123    /	440.18         	/	63.51          	/	441.38         	/	1712.19        	/	2800.06        
0.8223    /	439.99         	/	63.57          	/	441.87         	/	1589.48        	/	2727.24        
0.8323    /	439.82         	/	63.54          	/	441.59         	/	1599.85        	/	2772.96        
0.8423    /	439.95         	/	63.56          	/	441.59         	/	1786.29        	/	2995.46        
0.8523    /	440.02         	/	63.64          	/	440.87         	/	1818.72        	/	2978.67        
0.8623    /	440.18         	/	63.60          	/	441.50         	/	1864.53        	/	2701.94        
0.8723    /	439.93         	/	63.52          	/	442.21         	/	1553.84        	/	2666.90        
0.8823    /	439.99         	/	63.51          	/	445.92         	/	1488.21        	/	2519.74        
0.8923    /	440.34         	/	63.57          	/	442.21         	/	1793.28        	/	2573.50        
0.9023    /	439.94         	/	63.60          	/	440.75         	/	1628.62        	/	2775.79        
0.9123    /	440.29         	/	63.61          	/	441.54         	/	1822.24        	/	3040.48        
0.9223    /	440.00         	/	63.60          	/	441.20         	/	1928.18        	/	2915.13        
0.9323    /	440.13         	/	63.66          	/	441.82         	/	1899.47        	/	2974.80        
0.9423    /	440.10         	/	63.74          	/	441.25         	/	1668.94        	/	2686.11        
0.9523    /	439.69         	/	63.76          	/	440.79         	/	1816.16        	/	2441.66        
0.9623    /	440.17         	/	63.69          	/	442.19         	/	2000.12        	/	3031.60        
0.9723    /	440.11         	/	63.62          	/	441.92         	/	1975.03        	/	3005.74        
0.9823    /	439.95         	/	63.62          	/	441.75         	/	1845.99        	/	2941.66        
0.9923    /	440.05         	/	63.67          	/	441.26         	/	1732.05        	/	2703.65        
1.0023    /	439.80         	/	63.73          	/	441.19         	/	1672.23        	/	2696.31        
1.0123    /	440.22         	/	63.76          	/	442.36         	/	1812.22        	/	3101.55        
1.0223    /	439.91         	/	63.73          	/	440.95         	/	1886.50        	/	3080.48        
1.0323    /	440.10         	/	63.72          	/	441.40         	/	1689.09        	/	2642.81        
1.0423    /	439.96         	/	63.73          	/	440.98         	/	1827.33        	/	2567.83        
1.0523    /	439.76         	/	63.78          	/	441.21         	/	1656.10        	/	2692.09        
1.0623    /	440.00         	/	63.78          	/	441.18         	/	1745.82        	/	2670.53        
1.0723    /	440.18         	/	63.72          	/	441.62         	/	1779.68        	/	2899.31        
1.0823    /	440.30         	/	63.72          	/	441.58         	/	1853.77        	/	2988.68        
1.0923    /	440.09         	/	63.74          	/	441.05         	/	1812.53        	/	2950.94        
1.1023    /	440.12         	/	63.64          	/	441.84         	/	1775.00        	/	3103.76        
