Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
3.2423    /	440.15         	/	63.61          	/	442.20         	/	1728.63        	/	2697.78        
3.2523    /	440.01         	/	63.68          	/	441.50         	/	1829.21        	/	3069.79        
3.2623    /	439.88         	/	63.79          	/	442.19         	/	1806.43        	/	2991.34        
3.2723    /	439.82         	/	63.81          	/	442.08         	/	1861.99        	/	3069.51        
3.2823    /	440.11         	/	63.79          	/	441.63         	/	1870.30        	/	3145.12        
3.2923    /	439.92         	/	63.79          	/	443.08         	/	1472.44        	/	2568.88        
3.3023    /	440.24         	/	63.74          	/	444.21         	/	1772.39        	/	2522.13        
3.3123    /	439.90         	/	63.67          	/	448.37         	/	1873.19        	/	2184.60        
3.3223    /	440.01         	/	63.59          	/	446.82         	/	1742.72        	/	2525.94        
3.3323    /	440.21         	/	63.63          	/	441.88         	/	1710.63        	/	2907.03        
3.3423    /	440.07         	/	63.68          	/	441.29         	/	1865.96        	/	3102.03        
3.3523    /	440.04         	/	63.69          	/	441.51         	/	1950.90        	/	3023.85        
3.3623    /	440.05         	/	63.76          	/	442.28         	/	1862.15        	/	3080.22        
3.3723    /	439.98         	/	63.80          	/	440.84         	/	1749.91        	/	2987.44        
3.3823    /	440.06         	/	63.79          	/	440.71         	/	1673.55        	/	2873.26        
3.3923    /	439.99         	/	63.78          	/	441.69         	/	1910.83        	/	3013.63        
3.4023    /	439.80         	/	63.71          	/	441.82         	/	1886.97        	/	3025.15        
3.4123    /	440.21         	/	63.69          	/	441.50         	/	1777.77        	/	2932.25        
3.4223    /	440.11         	/	63.74          	/	440.94         	/	1803.07        	/	2932.89        
3.4323    /	439.92         	/	63.76          	/	441.57         	/	1876.09        	/	3181.38        
3.4423    /	440.05         	/	63.77          	/	442.93         	/	1571.11        	/	2800.81        
3.4523    /	439.92         	/	63.79          	/	441.76         	/	1933.40        	/	2924.84        
3.4623    /	440.11         	/	63.80          	/	441.67         	/	1996.99        	/	2265.24        
3.4723    /	440.18         	/	63.83          	/	441.74         	/	1959.54        	/	2565.47        
3.4823    /	439.78         	/	63.87          	/	440.93         	/	1828.83        	/	2798.69        
3.4923    /	440.10         	/	63.86          	/	442.12         	/	1855.34        	/	2835.02        
3.5023    /	440.11         	/	63.81          	/	441.39         	/	1698.90        	/	2568.96        
3.5123    /	439.84         	/	63.83          	/	440.89         	/	1759.86        	/	2841.74        
3.5223    /	440.12         	/	63.81          	/	442.20         	/	1815.32        	/	3003.31        
3.5323    /	440.00         	/	63.69          	/	442.14         	/	1620.38        	/	2669.56        
3.5423    /	440.11         	/	63.66          	/	441.99         	/	1882.88        	/	2929.55        
3.5523    /	439.89         	/	63.73          	/	441.02         	/	1832.62        	/	2895.49        
3.5623    /	440.01         	/	63.74          	/	443.02         	/	1756.85        	/	2891.81        
3.5723    /	439.98         	/	63.74          	/	nan            	/	nan            	/	nan            
