Tiempo [s]/	Frecuencia [Hz]	/	Intesidad [dB] 	/	Formante 1 [Hz]	/	Formante 2 [Hz]	/	Formante 3 [Hz]
0.8710    /	224.16         	/	77.83          	/	766.21         	/	1541.67        	/	2936.72        
0.8810    /	225.41         	/	77.60          	/	761.38         	/	1554.37        	/	2956.68        
0.8910    /	226.72         	/	77.26          	/	767.93         	/	1567.86        	/	2933.99        
0.9010    /	227.05         	/	76.94          	/	762.27         	/	1560.81        	/	2912.78        
0.9110    /	226.89         	/	76.66          	/	760.74         	/	1570.79        	/	2922.63        
0.9210    /	226.15         	/	76.30          	/	758.49         	/	1568.70        	/	2902.29        
0.9310    /	225.95         	/	75.99          	/	735.99         	/	1553.29        	/	2913.63        
0.9410    /	226.48         	/	75.80          	/	762.58         	/	1572.21        	/	2873.64        
0.9510    /	226.52         	/	75.58          	/	751.97         	/	1561.16        	/	2881.59        
0.9610    /	227.02         	/	75.47          	/	736.07         	/	1564.71        	/	2898.21        
0.9710    /	227.52         	/	75.57          	/	735.75         	/	1574.46        	/	2898.32        
0.9810    /	227.31         	/	75.51          	/	744.74         	/	1580.75        	/	2919.73        
0.9910    /	226.97         	/	75.35          	/	763.54         	/	1573.39        	/	2934.79        
1.0010    /	226.39         	/	75.26          	/	745.48         	/	1566.02        	/	2950.14        
1.0110    /	226.10         	/	75.11          	/	746.22         	/	1550.30        	/	2961.47        
1.0210    /	226.06         	/	74.92          	/	723.04         	/	1561.82        	/	2942.63        
1.0310    /	225.94         	/	74.72          	/	744.16         	/	1556.63        	/	2986.39        
1.0410    /	226.21         	/	74.50          	/	758.37         	/	1572.56        	/	2938.06        
1.0510    /	226.63         	/	74.42          	/	780.57         	/	1565.83        	/	2954.33        
1.0610    /	226.55         	/	74.33          	/	778.54         	/	1587.70        	/	3030.63        
1.0710    /	226.96         	/	74.30          	/	743.27         	/	1528.89        	/	2982.28        
1.0810    /	227.78         	/	74.31          	/	750.19         	/	1560.97        	/	2989.41        
1.0910    /	227.85         	/	74.29          	/	767.56         	/	1581.20        	/	2970.01        
1.1010    /	228.14         	/	74.28          	/	770.74         	/	1578.67        	/	2956.76        
1.1110    /	228.61         	/	74.25          	/	765.41         	/	1574.13        	/	2947.65        
1.1210    /	228.74         	/	74.14          	/	761.84         	/	1575.23        	/	2896.63        
1.1310    /	228.61         	/	74.05          	/	771.99         	/	1569.57        	/	2929.36        
1.1410    /	228.91         	/	73.93          	/	778.72         	/	1573.06        	/	2952.61        
1.1510    /	229.08         	/	73.80          	/	771.19         	/	1571.84        	/	2950.79        
1.1610    /	229.41         	/	73.80          	/	776.37         	/	1575.17        	/	2988.06        
1.1710    /	229.94         	/	73.82          	/	780.68         	/	1586.16        	/	2962.45        
1.1810    /	230.28         	/	73.84          	/	789.06         	/	1577.62        	/	2970.71        
1.1910    /	230.02         	/	73.79          	/	778.02         	/	1573.77        	/	3003.02        
1.2010    /	229.79         	/	73.77          	/	782.32         	/	1591.66        	/	3037.62        
1.2110    /	230.04         	/	73.78          	/	789.20         	/	1582.90        	/	3038.78        
1.2210    /	230.22         	/	73.77          	/	778.30         	/	1569.16        	/	2987.47        
1.2310    /	229.98         	/	73.75          	/	797.07         	/	1591.10        	/	3030.11        
1.2410    /	229.65         	/	73.68          	/	805.11         	/	1596.94        	/	3077.52        
1.2510    /	229.48         	/	73.60          	/	803.76         	/	1594.56        	/	3064.42        
1.2610    /	229.23         	/	73.57          	/	797.92         	/	1593.55        	/	3110.95        
1.2710    /	229.38         	/	73.56          	/	805.07         	/	1576.26        	/	3076.55        
1.2810    /	229.54         	/	73.54          	/	806.11         	/	1578.00        	/	3068.65        
1.2910    /	229.81         	/	73.64          	/	805.88         	/	1575.76        	/	3026.93        
1.3010    /	230.42         	/	73.81          	/	805.93         	/	1580.55        	/	2999.11        
1.3110    /	230.83         	/	74.00          	/	791.10         	/	1573.97        	/	2944.45        
1.3210    /	230.77         	/	74.13          	/	794.80         	/	1570.70        	/	2977.72        
1.3310    /	230.41         	/	74.11          	/	804.64         	/	1565.21        	/	3013.38        
1.3410    /	230.61         	/	74.01          	/	804.20         	/	1585.14        	/	3030.71        
1.3510    /	231.26         	/	73.93          	/	797.78         	/	1581.31        	/	3023.84        
1.3610    /	231.53         	/	73.86          	/	793.47         	/	1577.27        	/	2996.57        
1.3710    /	231.46         	/	73.72          	/	782.72         	/	1564.49        	/	2958.04        
1.3810    /	231.47         	/	73.60          	/	770.45         	/	1568.22        	/	3042.31        
1.3910    /	231.12         	/	73.48          	/	772.10         	/	1559.05        	/	2996.18        
1.4010    /	230.87         	/	73.29          	/	787.48         	/	1580.81        	/	3003.09        
1.4110    /	230.55         	/	73.17          	/	792.82         	/	1584.91        	/	3024.63        
1.4210    /	230.72         	/	73.18          	/	795.07         	/	1601.10        	/	3070.75        
1.4310    /	231.32         	/	73.29          	/	794.75         	/	1596.26        	/	3016.79        
1.4410    /	231.53         	/	73.38          	/	789.98         	/	1582.12        	/	3039.65        
1.4510    /	231.44         	/	73.39          	/	800.68         	/	1588.14        	/	3033.14        
1.4610    /	231.24         	/	73.36          	/	788.06         	/	1603.09        	/	2980.87        
1.4710    /	231.34         	/	73.37          	/	788.21         	/	1608.56        	/	3006.33        
1.4810    /	231.41         	/	73.40          	/	794.75         	/	1591.41        	/	3067.16        
1.4910    /	231.22         	/	73.34          	/	794.65         	/	1583.98        	/	3043.88        
1.5010    /	230.83         	/	73.29          	/	789.31         	/	1583.14        	/	2982.98        
1.5110    /	231.10         	/	73.31          	/	784.36         	/	1582.83        	/	3035.75        
1.5210    /	231.29         	/	73.36          	/	787.13         	/	1586.03        	/	3007.18        
1.5310    /	231.04         	/	73.36          	/	794.89         	/	1593.68        	/	3077.06        
1.5410    /	230.75         	/	73.33          	/	797.15         	/	1591.69        	/	3051.57        
1.5510    /	230.63         	/	73.32          	/	799.12         	/	1572.59        	/	3050.16        
1.5610    /	231.26         	/	73.36          	/	785.63         	/	1565.35        	/	3052.18        
1.5710    /	231.41         	/	73.44          	/	788.83         	/	1558.21        	/	3004.06        
1.5810    /	230.98         	/	73.45          	/	791.85         	/	1569.71        	/	2975.23        
1.5910    /	230.71         	/	73.36          	/	796.74         	/	1568.96        	/	2985.32        
1.6010    /	230.96         	/	73.26          	/	793.46         	/	1570.19        	/	3003.74        
1.6110    /	231.03         	/	73.24          	/	784.96         	/	1558.00        	/	3036.43        
1.6210    /	231.01         	/	73.19          	/	767.05         	/	1554.21        	/	3040.68        
1.6310    /	231.16         	/	73.11          	/	777.20         	/	1565.77        	/	3042.09        
1.6410    /	230.98         	/	73.01          	/	786.57         	/	1575.72        	/	2993.44        
1.6510    /	230.69         	/	72.92          	/	789.44         	/	1575.94        	/	3022.44        
1.6610    /	230.73         	/	72.92          	/	787.71         	/	1581.64        	/	3066.92        
1.6710    /	230.33         	/	73.00          	/	787.78         	/	1577.52        	/	3070.92        
1.6810    /	229.84         	/	73.01          	/	784.57         	/	1586.97        	/	3096.61        
1.6910    /	230.54         	/	73.08          	/	783.71         	/	1578.05        	/	3059.47        
1.7010    /	230.60         	/	73.20          	/	790.68         	/	1564.80        	/	3047.72        
1.7110    /	230.94         	/	73.25          	/	790.61         	/	1556.36        	/	3030.81        
1.7210    /	231.23         	/	73.22          	/	793.99         	/	1568.24        	/	2992.30        
1.7310    /	231.28         	/	73.18          	/	785.42         	/	1583.15        	/	3013.08        
1.7410    /	231.12         	/	73.11          	/	774.83         	/	1584.81        	/	2980.72        
1.7510    /	231.42         	/	73.02          	/	774.28         	/	1572.80        	/	2994.11        
1.7610    /	232.22         	/	73.02          	/	770.24         	/	1571.58        	/	3030.05        
1.7710    /	232.13         	/	73.08          	/	766.35         	/	1580.80        	/	2999.43        
1.7810    /	232.16         	/	73.16          	/	752.55         	/	1578.12        	/	2962.51        
1.7910    /	232.16         	/	73.26          	/	733.14         	/	1557.20        	/	2978.07        
1.8010    /	232.11         	/	73.34          	/	749.35         	/	1570.12        	/	3037.49        
1.8110    /	231.96         	/	73.34          	/	760.28         	/	1577.15        	/	3012.30        
1.8210    /	231.42         	/	73.25          	/	767.09         	/	1547.18        	/	2927.03        
1.8310    /	231.94         	/	73.19          	/	767.36         	/	1567.61        	/	2927.00        
1.8410    /	232.33         	/	73.27          	/	769.23         	/	1577.39        	/	2924.90        
1.8510    /	232.37         	/	73.32          	/	773.69         	/	1579.73        	/	2970.05        
1.8610    /	232.29         	/	73.34          	/	768.87         	/	1570.22        	/	2964.69        
1.8710    /	231.65         	/	73.36          	/	767.19         	/	1564.80        	/	3007.52        
1.8810    /	231.21         	/	73.34          	/	759.14         	/	1561.13        	/	2991.43        
1.8910    /	231.24         	/	73.33          	/	768.97         	/	1573.88        	/	3009.65        
1.9010    /	231.44         	/	73.33          	/	774.83         	/	1579.63        	/	3011.25        
1.9110    /	231.53         	/	73.31          	/	768.61         	/	1569.11        	/	3059.71        
1.9210    /	232.12         	/	73.26          	/	768.62         	/	1580.11        	/	2986.26        
1.9310    /	232.27         	/	73.24          	/	762.73         	/	1570.34        	/	2938.43        
1.9410    /	232.16         	/	73.22          	/	761.37         	/	1585.22        	/	2900.45        
1.9510    /	231.40         	/	73.26          	/	769.29         	/	1581.80        	/	2907.82        
1.9610    /	231.46         	/	73.28          	/	764.22         	/	1589.00        	/	2947.11        
1.9710    /	231.75         	/	73.29          	/	770.11         	/	1595.72        	/	3019.96        
1.9810    /	231.81         	/	73.33          	/	765.99         	/	1582.60        	/	2993.48        
1.9910    /	231.75         	/	73.39          	/	767.11         	/	1583.75        	/	3011.47        
2.0010    /	231.31         	/	73.39          	/	771.63         	/	1598.75        	/	3034.48        
2.0110    /	231.14         	/	73.32          	/	769.27         	/	1598.79        	/	3040.48        
2.0210    /	230.59         	/	73.21          	/	762.50         	/	1601.63        	/	3006.68        
