Time [s]  /	Frequency [Hz] 	/	Power [dB]     
0.1008    /	7.81           	/	-13.30         
0.1008    /	27.34          	/	-14.39         
0.1008    /	46.88          	/	-5.57          
0.1008    /	66.41          	/	10.24          
0.1008    /	85.94          	/	-7.47          
0.1008    /	105.47         	/	-5.49          
0.1008    /	125.00         	/	-4.71          
0.1008    /	144.53         	/	-9.22          
0.1008    /	164.06         	/	-13.90         
0.1008    /	183.59         	/	4.79           
0.1008    /	203.12         	/	8.30           
0.1008    /	222.66         	/	12.48          
0.1008    /	242.19         	/	44.01          
0.1008    /	261.72         	/	78.38          
0.1008    /	281.25         	/	55.94          
0.1008    /	300.78         	/	10.78          
0.1008    /	320.31         	/	-1.60          
0.1008    /	339.84         	/	-0.29          
0.1008    /	359.38         	/	9.57           
0.1008    /	378.91         	/	2.57           
0.1008    /	398.44         	/	3.97           
0.1008    /	417.97         	/	-3.90          
0.1008    /	437.50         	/	-5.44          
0.1008    /	457.03         	/	3.34           
0.1008    /	476.56         	/	-4.38          
0.1008    /	496.09         	/	12.48          
0.1008    /	515.62         	/	73.88          
0.1008    /	535.16         	/	77.68          
0.1008    /	554.69         	/	6.89           
0.1008    /	574.22         	/	7.26           
0.1008    /	593.75         	/	16.17          
0.1008    /	613.28         	/	1.13           
0.1008    /	632.81         	/	1.71           
0.1008    /	652.34         	/	8.61           
0.1008    /	671.88         	/	-3.88          
0.1008    /	691.41         	/	15.99          
0.1008    /	710.94         	/	8.21           
0.1008    /	730.47         	/	11.32          
0.1008    /	750.00         	/	19.74          
0.1008    /	769.53         	/	48.45          
0.1008    /	789.06         	/	80.80          
0.1008    /	808.59         	/	56.10          
0.1008    /	828.12         	/	22.85          
0.1008    /	847.66         	/	23.06          
0.1008    /	867.19         	/	7.89           
0.1008    /	886.72         	/	17.33          
0.1008    /	906.25         	/	4.45           
0.1008    /	925.78         	/	0.75           
0.1008    /	945.31         	/	5.18           
0.1008    /	964.84         	/	15.93          
0.1008    /	984.38         	/	17.95          
0.1008    /	1003.91        	/	25.36          
0.1008    /	1023.44        	/	33.81          
0.1008    /	1042.97        	/	91.54          
0.1008    /	1062.50        	/	93.79          
0.1008    /	1082.03        	/	49.72          
0.1008    /	1101.56        	/	41.35          
0.1008    /	1121.09        	/	33.20          
0.1008    /	1140.62        	/	15.70          
0.1008    /	1160.16        	/	24.11          
0.1008    /	1179.69        	/	29.37          
0.1008    /	1199.22        	/	25.21          
0.1008    /	1218.75        	/	34.11          
0.1008    /	1238.28        	/	28.88          
0.1008    /	1257.81        	/	45.16          
0.1008    /	1277.34        	/	46.21          
0.1008    /	1296.88        	/	78.61          
0.1008    /	1316.41        	/	107.25         
0.1008    /	1335.94        	/	81.93          
0.1008    /	1355.47        	/	43.40          
0.1008    /	1375.00        	/	31.17          
0.1008    /	1394.53        	/	17.27          
0.1008    /	1414.06        	/	15.36          
0.1008    /	1433.59        	/	14.38          
0.1008    /	1453.12        	/	11.54          
0.1008    /	1472.66        	/	9.29           
0.1008    /	1492.19        	/	27.37          
0.1008    /	1511.72        	/	15.68          
0.1008    /	1531.25        	/	19.99          
0.1008    /	1550.78        	/	30.16          
0.1008    /	1570.31        	/	71.47          
0.1008    /	1589.84        	/	72.33          
0.1008    /	1609.38        	/	34.68          
0.1008    /	1628.91        	/	20.98          
0.1008    /	1648.44        	/	18.58          
0.1008    /	1667.97        	/	14.67          
0.1008    /	1687.50        	/	9.68           
0.1008    /	1707.03        	/	8.40           
0.1008    /	1726.56        	/	-9.71          
0.1008    /	1746.09        	/	4.41           
0.1008    /	1765.62        	/	18.07          
0.1008    /	1785.16        	/	2.66           
0.1008    /	1804.69        	/	30.73          
0.1008    /	1824.22        	/	62.62          
0.1008    /	1843.75        	/	83.85          
0.1008    /	1863.28        	/	56.32          
0.1008    /	1882.81        	/	33.48          
0.1008    /	1902.34        	/	22.67          
0.1008    /	1921.88        	/	10.51          
0.1008    /	1941.41        	/	5.69           
0.1008    /	1960.94        	/	11.80          
0.1008    /	1980.47        	/	-0.83          
0.1008    /	2000.00        	/	2.06           
0.1008    /	2019.53        	/	14.54          
0.1008    /	2039.06        	/	23.75          
0.1008    /	2058.59        	/	42.38          
0.1008    /	2078.12        	/	51.42          
0.1008    /	2097.66        	/	92.25          
0.1008    /	2117.19        	/	92.37          
0.1008    /	2136.72        	/	54.83          
0.1008    /	2156.25        	/	52.32          
0.1008    /	2175.78        	/	46.92          
0.1008    /	2195.31        	/	32.29          
0.1008    /	2214.84        	/	31.49          
0.1008    /	2234.38        	/	18.67          
0.1008    /	2253.91        	/	24.82          
0.1008    /	2273.44        	/	23.42          
0.1008    /	2292.97        	/	26.02          
0.1008    /	2312.50        	/	22.26          
0.1008    /	2332.03        	/	34.48          
0.1008    /	2351.56        	/	62.56          
0.1008    /	2371.09        	/	82.59          
0.1008    /	2390.62        	/	56.29          
0.1008    /	2410.16        	/	27.49          
0.1008    /	2429.69        	/	31.27          
0.1008    /	2449.22        	/	0.88           
0.1008    /	2468.75        	/	11.43          
0.1008    /	2488.28        	/	16.95          
0.1008    /	2507.81        	/	-5.13          
0.1008    /	2527.34        	/	-15.21         
0.1008    /	2546.88        	/	-7.14          
0.1008    /	2566.41        	/	4.49           
0.1008    /	2585.94        	/	21.44          
0.1008    /	2605.47        	/	22.66          
0.1008    /	2625.00        	/	59.49          
0.1008    /	2644.53        	/	56.72          
0.1008    /	2664.06        	/	29.99          
0.1008    /	2683.59        	/	14.21          
0.1008    /	2703.12        	/	15.33          
0.1008    /	2722.66        	/	-8.37          
0.1008    /	2742.19        	/	4.64           
0.1008    /	2761.72        	/	-6.16          
0.1008    /	2781.25        	/	-9.38          
0.1008    /	2800.78        	/	-3.39          
0.1008    /	2820.31        	/	1.39           
0.1008    /	2839.84        	/	8.26           
0.1008    /	2859.38        	/	14.66          
0.1008    /	2878.91        	/	45.57          
0.1008    /	2898.44        	/	61.11          
0.1008    /	2917.97        	/	36.15          
0.1008    /	2937.50        	/	20.09          
0.1008    /	2957.03        	/	21.00          
0.1008    /	2976.56        	/	10.96          
0.1008    /	2996.09        	/	-1.79          
0.1008    /	3015.62        	/	4.18           
0.1008    /	3035.16        	/	-3.47          
0.1008    /	3054.69        	/	-8.46          
0.1008    /	3074.22        	/	-4.20          
0.1008    /	3093.75        	/	0.62           
0.1008    /	3113.28        	/	11.39          
0.1008    /	3132.81        	/	16.35          
0.1008    /	3152.34        	/	56.64          
0.1008    /	3171.88        	/	57.54          
0.1008    /	3191.41        	/	32.98          
0.1008    /	3210.94        	/	20.31          
0.1008    /	3230.47        	/	11.82          
0.1008    /	3250.00        	/	14.54          
0.1008    /	3269.53        	/	-1.72          
0.1008    /	3289.06        	/	-7.68          
0.1008    /	3308.59        	/	-7.05          
0.1008    /	3328.12        	/	6.52           
0.1008    /	3347.66        	/	-8.91          
0.1008    /	3367.19        	/	10.55          
0.1008    /	3386.72        	/	10.34          
0.1008    /	3406.25        	/	24.08          
0.1008    /	3425.78        	/	46.53          
0.1008    /	3445.31        	/	29.33          
0.1008    /	3464.84        	/	13.11          
0.1008    /	3484.38        	/	10.37          
0.1008    /	3503.91        	/	-0.44          
0.1008    /	3523.44        	/	-0.34          
0.1008    /	3542.97        	/	2.60           
0.1008    /	3562.50        	/	9.56           
0.1008    /	3582.03        	/	5.84           
0.1008    /	3601.56        	/	-7.18          
0.1008    /	3621.09        	/	12.83          
0.1008    /	3640.62        	/	11.62          
0.1008    /	3660.16        	/	27.79          
0.1008    /	3679.69        	/	59.29          
0.1008    /	3699.22        	/	55.57          
0.1008    /	3718.75        	/	28.17          
0.1008    /	3738.28        	/	14.58          
0.1008    /	3757.81        	/	15.48          
0.1008    /	3777.34        	/	11.12          
0.1008    /	3796.88        	/	5.73           
0.1008    /	3816.41        	/	3.05           
0.1008    /	3835.94        	/	-12.67         
0.1008    /	3855.47        	/	-16.46         
0.1008    /	3875.00        	/	-16.82         
0.1008    /	3894.53        	/	-7.03          
0.1008    /	3914.06        	/	-5.95          
0.1008    /	3933.59        	/	27.65          
0.1008    /	3953.12        	/	44.91          
0.1008    /	3972.66        	/	20.73          
0.1079    /	7.81           	/	-13.77         
0.1079    /	27.34          	/	-13.62         
0.1079    /	46.88          	/	-6.42          
0.1079    /	66.41          	/	10.24          
0.1079    /	85.94          	/	-3.45          
0.1079    /	105.47         	/	-1.33          
0.1079    /	125.00         	/	-3.12          
0.1079    /	144.53         	/	-11.02         
0.1079    /	164.06         	/	-10.56         
0.1079    /	183.59         	/	6.91           
0.1079    /	203.12         	/	5.95           
0.1079    /	222.66         	/	10.26          
0.1079    /	242.19         	/	44.29          
0.1079    /	261.72         	/	78.63          
0.1079    /	281.25         	/	56.35          
0.1079    /	300.78         	/	5.88           
0.1079    /	320.31         	/	-6.42          
0.1079    /	339.84         	/	-1.50          
0.1079    /	359.38         	/	8.05           
0.1079    /	378.91         	/	5.44           
0.1079    /	398.44         	/	4.71           
0.1079    /	417.97         	/	-3.91          
0.1079    /	437.50         	/	-3.24          
0.1079    /	457.03         	/	3.29           
0.1079    /	476.56         	/	-3.29          
0.1079    /	496.09         	/	10.28          
0.1079    /	515.62         	/	73.56          
0.1079    /	535.16         	/	77.89          
0.1079    /	554.69         	/	14.77          
0.1079    /	574.22         	/	7.26           
0.1079    /	593.75         	/	17.32          
0.1079    /	613.28         	/	2.43           
0.1079    /	632.81         	/	-4.30          
0.1079    /	652.34         	/	4.80           
0.1079    /	671.88         	/	-9.39          
0.1079    /	691.41         	/	14.97          
0.1079    /	710.94         	/	10.29          
0.1079    /	730.47         	/	9.27           
0.1079    /	750.00         	/	19.31          
0.1079    /	769.53         	/	49.46          
0.1079    /	789.06         	/	80.86          
0.1079    /	808.59         	/	58.90          
0.1079    /	828.12         	/	28.27          
0.1079    /	847.66         	/	23.14          
0.1079    /	867.19         	/	11.01          
0.1079    /	886.72         	/	17.27          
0.1079    /	906.25         	/	6.05           
0.1079    /	925.78         	/	5.70           
0.1079    /	945.31         	/	4.38           
0.1079    /	964.84         	/	16.03          
0.1079    /	984.38         	/	17.53          
0.1079    /	1003.91        	/	26.76          
0.1079    /	1023.44        	/	34.55          
0.1079    /	1042.97        	/	91.26          
0.1079    /	1062.50        	/	94.31          
0.1079    /	1082.03        	/	56.77          
0.1079    /	1101.56        	/	42.86          
0.1079    /	1121.09        	/	32.22          
0.1079    /	1140.62        	/	18.16          
0.1079    /	1160.16        	/	22.71          
0.1079    /	1179.69        	/	26.50          
0.1079    /	1199.22        	/	27.07          
0.1079    /	1218.75        	/	32.78          
0.1079    /	1238.28        	/	26.49          
0.1079    /	1257.81        	/	44.05          
0.1079    /	1277.34        	/	48.14          
0.1079    /	1296.88        	/	80.30          
0.1079    /	1316.41        	/	107.73         
0.1079    /	1335.94        	/	87.17          
0.1079    /	1355.47        	/	55.26          
0.1079    /	1375.00        	/	30.45          
0.1079    /	1394.53        	/	16.98          
0.1079    /	1414.06        	/	15.17          
0.1079    /	1433.59        	/	17.33          
0.1079    /	1453.12        	/	8.09           
0.1079    /	1472.66        	/	12.83          
0.1079    /	1492.19        	/	27.15          
0.1079    /	1511.72        	/	17.07          
0.1079    /	1531.25        	/	24.31          
0.1079    /	1550.78        	/	33.96          
0.1079    /	1570.31        	/	71.79          
0.1079    /	1589.84        	/	72.37          
0.1079    /	1609.38        	/	42.10          
0.1079    /	1628.91        	/	26.72          
0.1079    /	1648.44        	/	20.90          
0.1079    /	1667.97        	/	16.47          
0.1079    /	1687.50        	/	9.88           
0.1079    /	1707.03        	/	7.55           
0.1079    /	1726.56        	/	-2.79          
0.1079    /	1746.09        	/	-1.15          
0.1079    /	1765.62        	/	14.81          
0.1079    /	1785.16        	/	1.72           
0.1079    /	1804.69        	/	29.97          
0.1079    /	1824.22        	/	62.40          
0.1079    /	1843.75        	/	83.90          
0.1079    /	1863.28        	/	60.65          
0.1079    /	1882.81        	/	44.57          
0.1079    /	1902.34        	/	32.19          
0.1079    /	1921.88        	/	14.59          
0.1079    /	1941.41        	/	2.52           
0.1079    /	1960.94        	/	13.10          
0.1079    /	1980.47        	/	-1.13          
0.1079    /	2000.00        	/	7.59           
0.1079    /	2019.53        	/	15.92          
0.1079    /	2039.06        	/	26.29          
0.1079    /	2058.59        	/	40.18          
0.1079    /	2078.12        	/	48.67          
0.1079    /	2097.66        	/	91.63          
0.1079    /	2117.19        	/	91.45          
0.1079    /	2136.72        	/	62.18          
0.1079    /	2156.25        	/	53.58          
0.1079    /	2175.78        	/	45.09          
0.1079    /	2195.31        	/	28.58          
0.1079    /	2214.84        	/	31.63          
0.1079    /	2234.38        	/	17.33          
0.1079    /	2253.91        	/	24.08          
0.1079    /	2273.44        	/	19.73          
0.1079    /	2292.97        	/	25.13          
0.1079    /	2312.50        	/	22.26          
0.1079    /	2332.03        	/	29.42          
0.1079    /	2351.56        	/	62.73          
0.1079    /	2371.09        	/	82.46          
0.1079    /	2390.62        	/	61.05          
0.1079    /	2410.16        	/	37.04          
0.1079    /	2429.69        	/	31.45          
0.1079    /	2449.22        	/	9.50           
0.1079    /	2468.75        	/	11.32          
0.1079    /	2488.28        	/	15.01          
0.1079    /	2507.81        	/	0.08           
0.1079    /	2527.34        	/	-15.50         
0.1079    /	2546.88        	/	-3.93          
0.1079    /	2566.41        	/	8.21           
0.1079    /	2585.94        	/	21.02          
0.1079    /	2605.47        	/	23.85          
0.1079    /	2625.00        	/	59.81          
0.1079    /	2644.53        	/	57.57          
0.1079    /	2664.06        	/	36.33          
0.1079    /	2683.59        	/	19.86          
0.1079    /	2703.12        	/	17.62          
0.1079    /	2722.66        	/	-3.51          
0.1079    /	2742.19        	/	7.05           
0.1079    /	2761.72        	/	-2.76          
0.1079    /	2781.25        	/	-3.78          
0.1079    /	2800.78        	/	-0.05          
0.1079    /	2820.31        	/	1.86           
0.1079    /	2839.84        	/	10.55          
0.1079    /	2859.38        	/	13.23          
0.1079    /	2878.91        	/	45.38          
0.1079    /	2898.44        	/	61.54          
0.1079    /	2917.97        	/	42.13          
0.1079    /	2937.50        	/	28.58          
0.1079    /	2957.03        	/	23.84          
0.1079    /	2976.56        	/	12.77          
0.1079    /	2996.09        	/	3.44           
0.1079    /	3015.62        	/	7.14           
0.1079    /	3035.16        	/	-0.32          
0.1079    /	3054.69        	/	-11.37         
0.1079    /	3074.22        	/	-6.59          
0.1079    /	3093.75        	/	-0.23          
0.1079    /	3113.28        	/	11.88          
0.1079    /	3132.81        	/	16.83          
0.1079    /	3152.34        	/	57.27          
0.1079    /	3171.88        	/	59.08          
0.1079    /	3191.41        	/	36.76          
0.1079    /	3210.94        	/	28.64          
0.1079    /	3230.47        	/	14.22          
0.1079    /	3250.00        	/	17.59          
0.1079    /	3269.53        	/	3.59           
0.1079    /	3289.06        	/	-5.12          
0.1079    /	3308.59        	/	-6.47          
0.1079    /	3328.12        	/	4.43           
0.1079    /	3347.66        	/	-5.66          
0.1079    /	3367.19        	/	13.04          
0.1079    /	3386.72        	/	14.19          
0.1079    /	3406.25        	/	20.58          
0.1079    /	3425.78        	/	46.84          
0.1079    /	3445.31        	/	35.51          
0.1079    /	3464.84        	/	19.50          
0.1079    /	3484.38        	/	6.27           
0.1079    /	3503.91        	/	0.11           
0.1079    /	3523.44        	/	2.93           
0.1079    /	3542.97        	/	8.28           
0.1079    /	3562.50        	/	9.34           
0.1079    /	3582.03        	/	3.60           
0.1079    /	3601.56        	/	-2.28          
0.1079    /	3621.09        	/	12.76          
0.1079    /	3640.62        	/	12.93          
0.1079    /	3660.16        	/	25.23          
0.1079    /	3679.69        	/	58.96          
0.1079    /	3699.22        	/	55.39          
0.1079    /	3718.75        	/	31.98          
0.1079    /	3738.28        	/	22.93          
0.1079    /	3757.81        	/	18.25          
0.1079    /	3777.34        	/	14.28          
0.1079    /	3796.88        	/	9.99           
0.1079    /	3816.41        	/	7.24           
0.1079    /	3835.94        	/	-8.88          
0.1079    /	3855.47        	/	-16.80         
0.1079    /	3875.00        	/	-16.81         
0.1079    /	3894.53        	/	-5.03          
0.1079    /	3914.06        	/	-7.79          
0.1079    /	3933.59        	/	28.11          
0.1079    /	3953.12        	/	43.67          
0.1079    /	3972.66        	/	12.86          
0.1150    /	7.81           	/	-16.08         
0.1150    /	27.34          	/	-13.43         
0.1150    /	46.88          	/	-3.32          
0.1150    /	66.41          	/	11.69          
0.1150    /	85.94          	/	-0.72          
0.1150    /	105.47         	/	1.59           
0.1150    /	125.00         	/	-2.51          
0.1150    /	144.53         	/	-12.43         
0.1150    /	164.06         	/	-8.45          
0.1150    /	183.59         	/	7.99           
0.1150    /	203.12         	/	3.75           
0.1150    /	222.66         	/	6.59           
0.1150    /	242.19         	/	45.11          
0.1150    /	261.72         	/	78.84          
0.1150    /	281.25         	/	57.56          
0.1150    /	300.78         	/	2.24           
0.1150    /	320.31         	/	-11.17         
0.1150    /	339.84         	/	-3.76          
0.1150    /	359.38         	/	5.30           
0.1150    /	378.91         	/	6.45           
0.1150    /	398.44         	/	5.00           
0.1150    /	417.97         	/	-1.20          
0.1150    /	437.50         	/	-0.50          
0.1150    /	457.03         	/	2.95           
0.1150    /	476.56         	/	-1.66          
0.1150    /	496.09         	/	12.62          
0.1150    /	515.62         	/	72.76          
0.1150    /	535.16         	/	78.36          
0.1150    /	554.69         	/	29.39          
0.1150    /	574.22         	/	6.44           
0.1150    /	593.75         	/	17.98          
0.1150    /	613.28         	/	3.54           
0.1150    /	632.81         	/	-8.62          
0.1150    /	652.34         	/	0.46           
0.1150    /	671.88         	/	-9.44          
0.1150    /	691.41         	/	13.02          
0.1150    /	710.94         	/	10.49          
0.1150    /	730.47         	/	8.27           
0.1150    /	750.00         	/	17.28          
0.1150    /	769.53         	/	51.20          
0.1150    /	789.06         	/	80.71          
0.1150    /	808.59         	/	63.09          
0.1150    /	828.12         	/	34.88          
0.1150    /	847.66         	/	23.07          
0.1150    /	867.19         	/	14.53          
0.1150    /	886.72         	/	16.85          
0.1150    /	906.25         	/	7.38           
0.1150    /	925.78         	/	9.36           
0.1150    /	945.31         	/	4.98           
0.1150    /	964.84         	/	15.58          
0.1150    /	984.38         	/	15.68          
0.1150    /	1003.91        	/	29.97          
0.1150    /	1023.44        	/	41.54          
0.1150    /	1042.97        	/	90.40          
0.1150    /	1062.50        	/	95.27          
0.1150    /	1082.03        	/	66.97          
0.1150    /	1101.56        	/	45.82          
0.1150    /	1121.09        	/	29.88          
0.1150    /	1140.62        	/	22.15          
0.1150    /	1160.16        	/	21.29          
0.1150    /	1179.69        	/	24.70          
0.1150    /	1199.22        	/	26.80          
0.1150    /	1218.75        	/	30.27          
0.1150    /	1238.28        	/	22.31          
0.1150    /	1257.81        	/	41.49          
0.1150    /	1277.34        	/	48.94          
0.1150    /	1296.88        	/	81.52          
0.1150    /	1316.41        	/	107.83         
0.1150    /	1335.94        	/	92.71          
0.1150    /	1355.47        	/	67.03          
0.1150    /	1375.00        	/	42.19          
0.1150    /	1394.53        	/	22.14          
0.1150    /	1414.06        	/	16.98          
0.1150    /	1433.59        	/	20.94          
0.1150    /	1453.12        	/	7.05           
0.1150    /	1472.66        	/	14.93          
0.1150    /	1492.19        	/	25.80          
0.1150    /	1511.72        	/	17.99          
0.1150    /	1531.25        	/	28.10          
0.1150    /	1550.78        	/	37.97          
0.1150    /	1570.31        	/	71.19          
0.1150    /	1589.84        	/	72.96          
0.1150    /	1609.38        	/	51.07          
0.1150    /	1628.91        	/	35.45          
0.1150    /	1648.44        	/	26.01          
0.1150    /	1667.97        	/	20.61          
0.1150    /	1687.50        	/	11.17          
0.1150    /	1707.03        	/	10.62          
0.1150    /	1726.56        	/	2.67           
0.1150    /	1746.09        	/	-5.78          
0.1150    /	1765.62        	/	11.07          
0.1150    /	1785.16        	/	0.76           
0.1150    /	1804.69        	/	29.40          
0.1150    /	1824.22        	/	61.74          
0.1150    /	1843.75        	/	83.40          
0.1150    /	1863.28        	/	66.77          
0.1150    /	1882.81        	/	54.78          
0.1150    /	1902.34        	/	44.27          
0.1150    /	1921.88        	/	24.60          
0.1150    /	1941.41        	/	7.50           
0.1150    /	1960.94        	/	17.22          
0.1150    /	1980.47        	/	2.99           
0.1150    /	2000.00        	/	14.04          
0.1150    /	2019.53        	/	18.44          
0.1150    /	2039.06        	/	27.42          
0.1150    /	2058.59        	/	36.24          
0.1150    /	2078.12        	/	46.32          
0.1150    /	2097.66        	/	90.12          
0.1150    /	2117.19        	/	91.23          
0.1150    /	2136.72        	/	70.33          
0.1150    /	2156.25        	/	60.37          
0.1150    /	2175.78        	/	47.81          
0.1150    /	2195.31        	/	32.48          
0.1150    /	2214.84        	/	31.15          
0.1150    /	2234.38        	/	14.03          
0.1150    /	2253.91        	/	22.06          
0.1150    /	2273.44        	/	16.72          
0.1150    /	2292.97        	/	23.76          
0.1150    /	2312.50        	/	21.73          
0.1150    /	2332.03        	/	22.57          
0.1150    /	2351.56        	/	61.39          
0.1150    /	2371.09        	/	81.74          
0.1150    /	2390.62        	/	66.81          
0.1150    /	2410.16        	/	46.79          
0.1150    /	2429.69        	/	37.36          
0.1150    /	2449.22        	/	22.56          
0.1150    /	2468.75        	/	14.72          
0.1150    /	2488.28        	/	12.36          
0.1150    /	2507.81        	/	5.90           
0.1150    /	2527.34        	/	-11.51         
0.1150    /	2546.88        	/	-1.01          
0.1150    /	2566.41        	/	10.75          
0.1150    /	2585.94        	/	19.35          
0.1150    /	2605.47        	/	26.11          
0.1150    /	2625.00        	/	59.09          
0.1150    /	2644.53        	/	58.90          
0.1150    /	2664.06        	/	42.47          
0.1150    /	2683.59        	/	29.32          
0.1150    /	2703.12        	/	22.13          
0.1150    /	2722.66        	/	7.77           
0.1150    /	2742.19        	/	11.57          
0.1150    /	2761.72        	/	-0.45          
0.1150    /	2781.25        	/	0.72           
0.1150    /	2800.78        	/	1.29           
0.1150    /	2820.31        	/	3.68           
0.1150    /	2839.84        	/	12.09          
0.1150    /	2859.38        	/	10.13          
0.1150    /	2878.91        	/	43.53          
0.1150    /	2898.44        	/	61.41          
0.1150    /	2917.97        	/	48.54          
0.1150    /	2937.50        	/	36.81          
0.1150    /	2957.03        	/	30.36          
0.1150    /	2976.56        	/	20.76          
0.1150    /	2996.09        	/	13.86          
0.1150    /	3015.62        	/	11.60          
0.1150    /	3035.16        	/	2.38           
0.1150    /	3054.69        	/	-12.09         
0.1150    /	3074.22        	/	-6.86          
0.1150    /	3093.75        	/	-0.92          
0.1150    /	3113.28        	/	12.46          
0.1150    /	3132.81        	/	20.64          
0.1150    /	3152.34        	/	56.76          
0.1150    /	3171.88        	/	60.47          
0.1150    /	3191.41        	/	42.55          
0.1150    /	3210.94        	/	36.37          
0.1150    /	3230.47        	/	22.04          
0.1150    /	3250.00        	/	23.69          
0.1150    /	3269.53        	/	13.07          
0.1150    /	3289.06        	/	-1.20          
0.1150    /	3308.59        	/	-4.33          
0.1150    /	3328.12        	/	1.98           
0.1150    /	3347.66        	/	-2.97          
0.1150    /	3367.19        	/	14.04          
0.1150    /	3386.72        	/	16.37          
0.1150    /	3406.25        	/	17.96          
0.1150    /	3425.78        	/	47.35          
0.1150    /	3445.31        	/	41.50          
0.1150    /	3464.84        	/	25.94          
0.1150    /	3484.38        	/	2.33           
0.1150    /	3503.91        	/	-0.68          
0.1150    /	3523.44        	/	7.11           
0.1150    /	3542.97        	/	13.76          
0.1150    /	3562.50        	/	9.50           
0.1150    /	3582.03        	/	0.22           
0.1150    /	3601.56        	/	0.63           
0.1150    /	3621.09        	/	11.47          
0.1150    /	3640.62        	/	12.59          
0.1150    /	3660.16        	/	22.16          
0.1150    /	3679.69        	/	57.50          
0.1150    /	3699.22        	/	55.91          
0.1150    /	3718.75        	/	38.14          
0.1150    /	3738.28        	/	31.62          
0.1150    /	3757.81        	/	25.75          
0.1150    /	3777.34        	/	22.08          
0.1150    /	3796.88        	/	17.11          
0.1150    /	3816.41        	/	13.35          
0.1150    /	3835.94        	/	0.12           
0.1150    /	3855.47        	/	-14.26         
0.1150    /	3875.00        	/	-13.52         
0.1150    /	3894.53        	/	-3.57          
0.1150    /	3914.06        	/	-6.19          
0.1150    /	3933.59        	/	27.70          
0.1150    /	3953.12        	/	41.91          
0.1150    /	3972.66        	/	15.10          
0.1220    /	7.81           	/	-20.23         
0.1220    /	27.34          	/	-13.80         
0.1220    /	46.88          	/	0.73           
0.1220    /	66.41          	/	13.84          
0.1220    /	85.94          	/	0.02           
0.1220    /	105.47         	/	2.95           
0.1220    /	125.00         	/	-3.06          
0.1220    /	144.53         	/	-13.14         
0.1220    /	164.06         	/	-7.63          
0.1220    /	183.59         	/	7.78           
0.1220    /	203.12         	/	2.90           
0.1220    /	222.66         	/	2.59           
0.1220    /	242.19         	/	45.96          
0.1220    /	261.72         	/	78.96          
0.1220    /	281.25         	/	59.90          
0.1220    /	300.78         	/	2.73           
0.1220    /	320.31         	/	-12.04         
0.1220    /	339.84         	/	-6.96          
0.1220    /	359.38         	/	2.09           
0.1220    /	378.91         	/	5.68           
0.1220    /	398.44         	/	4.23           
0.1220    /	417.97         	/	1.75           
0.1220    /	437.50         	/	1.33           
0.1220    /	457.03         	/	1.88           
0.1220    /	476.56         	/	0.39           
0.1220    /	496.09         	/	14.64          
0.1220    /	515.62         	/	71.41          
0.1220    /	535.16         	/	78.95          
0.1220    /	554.69         	/	41.47          
0.1220    /	574.22         	/	7.50           
0.1220    /	593.75         	/	18.32          
0.1220    /	613.28         	/	3.42           
0.1220    /	632.81         	/	-8.82          
0.1220    /	652.34         	/	-2.31          
0.1220    /	671.88         	/	-6.12          
0.1220    /	691.41         	/	9.97           
0.1220    /	710.94         	/	8.87           
0.1220    /	730.47         	/	8.72           
0.1220    /	750.00         	/	14.27          
0.1220    /	769.53         	/	52.10          
0.1220    /	789.06         	/	80.12          
0.1220    /	808.59         	/	67.41          
0.1220    /	828.12         	/	42.24          
0.1220    /	847.66         	/	22.98          
0.1220    /	867.19         	/	16.53          
0.1220    /	886.72         	/	15.64          
0.1220    /	906.25         	/	7.23           
0.1220    /	925.78         	/	11.26          
0.1220    /	945.31         	/	6.42           
0.1220    /	964.84         	/	14.93          
0.1220    /	984.38         	/	12.72          
0.1220    /	1003.91        	/	32.73          
0.1220    /	1023.44        	/	45.86          
0.1220    /	1042.97        	/	88.85          
0.1220    /	1062.50        	/	96.13          
0.1220    /	1082.03        	/	76.10          
0.1220    /	1101.56        	/	53.96          
0.1220    /	1121.09        	/	28.48          
0.1220    /	1140.62        	/	25.88          
0.1220    /	1160.16        	/	19.59          
0.1220    /	1179.69        	/	24.79          
0.1220    /	1199.22        	/	24.66          
0.1220    /	1218.75        	/	26.53          
0.1220    /	1238.28        	/	17.34          
0.1220    /	1257.81        	/	37.84          
0.1220    /	1277.34        	/	48.34          
0.1220    /	1296.88        	/	81.77          
0.1220    /	1316.41        	/	107.30         
0.1220    /	1335.94        	/	97.07          
0.1220    /	1355.47        	/	76.84          
0.1220    /	1375.00        	/	55.11          
0.1220    /	1394.53        	/	32.84          
0.1220    /	1414.06        	/	22.62          
0.1220    /	1433.59        	/	24.26          
0.1220    /	1453.12        	/	11.49          
0.1220    /	1472.66        	/	15.75          
0.1220    /	1492.19        	/	23.47          
0.1220    /	1511.72        	/	17.97          
0.1220    /	1531.25        	/	30.51          
0.1220    /	1550.78        	/	39.68          
0.1220    /	1570.31        	/	69.52          
0.1220    /	1589.84        	/	73.50          
0.1220    /	1609.38        	/	58.47          
0.1220    /	1628.91        	/	44.87          
0.1220    /	1648.44        	/	33.71          
0.1220    /	1667.97        	/	27.01          
0.1220    /	1687.50        	/	14.15          
0.1220    /	1707.03        	/	15.52          
0.1220    /	1726.56        	/	6.96           
0.1220    /	1746.09        	/	-5.43          
