Time [s]  /	Amplitud       
6.25e-05  /	0.21875667592394787
0.0001875 /	0.17969298379467147
0.0003125 /	0.24219489120151372
0.0004375 /	-0.031250953703421125
0.0005625000000000001/	-0.2578203680532243
0.0006875 /	-0.15625476851710562
0.0008125000000000001/	0.1250038148136845
0.0009375 /	0.2578203680532243
0.0010625 /	0.22656941434980316
0.0011875000000000002/	0.039063692129276406
0.0013125 /	-0.17969298379467147
0.0014375 /	-0.18750572222052675
0.0015625 /	0.0            
0.0016875000000000002/	0.10937833796197394
0.0018125 /	0.0            
0.0019375 /	-0.27344584490493484
0.0020625 /	-0.2812585833307901
0.0021875 /	-0.31250953703421125
0.0023125000000000003/	0.3671987060151982
0.0024375 /	0.6015808587908567
0.0025625 /	0.07812738425855281
0.0026875000000000002/	-0.3671987060151982
0.0028125 /	-0.23438215277565844
0.0029375 /	-0.1640675069429609
0.0030625 /	-0.07031464583269753
0.0031875000000000002/	0.3281350138859218
0.0033125000000000003/	0.4922025208288827
0.0034375 /	0.007812738425855281
0.0035625 /	-0.42970061342204047
0.0036875000000000002/	-0.27344584490493484
0.0038125 /	0.007812738425855281
0.0039375 /	0.27344584490493484
0.0040625 /	0.21875667592394787
0.0041875 /	0.1718802453688162
0.0043125 /	-0.15625476851710562
0.0044375000000000005/	-0.22656941434980316
0.004562500000000001/	-0.07812738425855281
0.0046875 /	0.1718802453688162
0.0048125 /	0.26563310647907956
0.0049375 /	0.14844203009125034
0.0050625 /	-0.04687643055513169
0.0051875 /	-0.21875667592394787
0.0053125 /	-0.09375286111026337
0.0054375000000000005/	0.023438215277565844
0.0055625 /	0.10156559953611866
0.0056875 /	-0.14844203009125034
0.0058125 /	-0.30469679860835597
0.0059375 /	-0.3281350138859218
0.0060625 /	-0.10156559953611866
0.0061875 /	0.6797082430494095
0.0063125 /	0.39844965971861934
0.0064375000000000005/	-0.1718802453688162
0.006562500000000001/	-0.3671987060151982
0.0066875 /	-0.11719107638782922
0.0068125 /	-0.19531846064638203
0.0069375 /	0.09375286111026337
0.0070625 /	0.4218878749961852
0.0071875 /	0.3671987060151982
0.0073125 /	-0.26563310647907956
0.0074375000000000005/	-0.3828241828669088
0.0075625 /	-0.14844203009125034
0.0076875 /	0.13281655323953978
0.0078125 /	0.18750572222052675
0.0079375 /	0.2109439374980926
0.0080625 /	0.09375286111026337
0.0081875 /	-0.2109439374980926
0.0083125 /	-0.2031311990722373
0.0084375 /	0.039063692129276406
0.0085625 /	0.2890713217566454
0.0086875 /	0.19531846064638203
0.008812500000000001/	0.04687643055513169
0.008937500000000001/	-0.14062929166539506
0.009062500000000001/	-0.13281655323953978
